ghost_setting,episodes,win_rate,average_steps_until_end,average_pellet_completion,average_ghost_distance,std_win_rate,std_steps_until_end,std_pellet_completion,std_ghost_distance
random,15,0.0,500.0,0.16994497457965504,13.2356,0.0,0.0,0.037624785236282356,4.765924895197854
heuristic,15,0.0,347.2,0.1042908162269747,7.360467715242524,0.0,127.48134504049341,0.06272603258865653,2.309690549293465
mcts,15,0.0,335.73333333333335,0.09833216724352536,7.553312700518574,0.0,119.44899422859207,0.057499824834212045,2.8808470874517926
