level,requested_samples,generated_samples,valid_samples,connected_samples,reachable_pellet_samples,average_open_cells,average_pellets,average_dead_end_ratio,average_junction_count,average_branching_factor,average_corridor_length,average_nearest_ghost_distance,average_collection_distance,average_maze_difficulty_score,std_dead_end_ratio,std_branching_factor,std_corridor_length,std_nearest_ghost_distance,std_collection_distance,std_maze_difficulty_score,generation_rate,valid_rate
0,50,50,50,50,50,204.14,203.14,0.04632010550632065,43.94,2.1827275386418608,4.126801939924054,24.68,327.04,0.0,0.009962753915219025,0.05782770563824484,0.6103265423969993,0.7332121111929344,24.427820205658957,0.0,1.0,1.0
1,50,50,50,50,50,205.28,203.28,0.04727458817926383,40.46,2.159835069562757,4.257777144335113,22.72,331.72,0.0,0.00942076601322135,0.05040392092459681,0.5774796952548448,0.7756287771866126,20.746122529282427,0.0,1.0,1.0
2,50,50,50,50,50,202.9,200.9,0.04950830993510492,39.88,2.1598310921659807,4.345410723763074,20.68,327.38,1.2181750574879633,0.00906816376478408,0.04648617896617606,0.6532691063135733,0.78587530817554,22.38471800135083,0.08084028392936082,1.0,1.0
3,50,50,50,50,50,204.84,202.84,0.04587195752847448,38.1,2.1508249055955555,4.518736788032794,18.04,326.38,1.650693978226867,0.008969360943117427,0.04340921662004955,0.7304684556895126,0.19595917942265423,26.195335462635327,0.07879007181803063,1.0,1.0
4,50,50,50,50,50,202.1,200.1,0.04919640339681564,33.94,2.1290440437214784,4.669511340341538,16.22,328.82,1.8139162781292013,0.009236567334232398,0.04157023689343302,0.7530876314998565,0.5015974481593781,24.961322080370664,0.07887116125570795,1.0,1.0
5,50,50,50,50,50,202.46,200.46,0.0497750126908734,31.1,2.109972679608818,4.907216402300605,14.18,323.82,2.955097302246416,0.008357607814587194,0.03162294182575545,0.8738087858765065,0.4331281565541543,21.06056979286173,0.07296058542277392,1.0,1.0
