pacman_agent,difficulty,episodes,win_rate,average_pellet_completion,average_survival_time,average_score,average_ghosts_eaten,std_win_rate,std_pellet_completion,std_survival_time,std_score,std_ghosts_eaten
random,0,15,0.0,0.05403645839968796,500.0,0.13472005211982838,0.0,0.0,0.013001231260163488,0.0,0.013878018869655962,0.0
random,1,15,0.0,0.06338423254300429,500.0,0.146527994565319,0.0,0.0,0.017136831007758913,0.0,0.015823344679860855,0.0
random,2,15,0.0,0.056442059434885415,500.0,0.14104313268918697,0.0,0.0,0.02058408084774833,0.0,0.023345689744680573,0.0
random,3,15,0.0,0.05249076873183556,457.6666666666667,0.13373658946917624,0.0,0.0,0.012988937105005548,94.92008334500251,0.029072639199799438,0.0
random,4,15,0.0,0.04972006472563687,364.06666666666666,0.10515936893243362,0.0,0.0,0.024988448293876142,115.24956495458983,0.04139336485331689,0.0
random,5,15,0.0,0.04257527610473735,289.3333333333333,0.08461640185760554,0.0,0.0,0.01876523860904764,106.53178972598847,0.031238656416974493,0.0
greedy,0,15,0.0,0.18587354974631715,472.6666666666667,0.23676378569380777,0.0,0.0,0.03224767405121026,71.3542025547355,0.04167113642705146,0.0
greedy,1,15,0.0,0.17600937436427744,455.8666666666667,0.21964515590035258,0.0,0.0,0.045514743131967385,109.00328231551359,0.051404183131800445,0.0
greedy,2,15,0.0,0.19298491221736505,483.8,0.23956836838621745,0.0,0.0,0.03538712605091415,60.61484966573785,0.038431543537153355,0.0
greedy,3,15,0.0,0.15789974573604124,383.53333333333336,0.1968848601548227,0.0,0.0,0.058942961323739836,136.85070535278786,0.07280332716843678,0.0
greedy,4,15,0.0,0.10809147908634047,270.2,0.13515698016415395,0.0,0.0,0.058858404461432076,143.70627450926887,0.07030995012755127,0.0
greedy,5,15,0.0,0.12317257928308802,306.53333333333336,0.14071825193903173,0.0,0.0,0.06876297110228012,172.64679422322197,0.07501859357644229,0.0
cautious,0,15,0.0,0.19602516171113246,500.0,0.2411471722744562,0.0,0.0,0.023760976759470892,0.0,0.031160879882636015,0.0
cautious,1,15,0.0,0.19037983326880115,500.0,0.24137557496450732,0.0,0.0,0.029548967173757743,0.0,0.027980076402707783,0.0
cautious,2,15,0.0,0.18554985513915295,500.0,0.24205242032653415,0.0,0.0,0.03137706218327447,0.0,0.03036294885364303,0.0
cautious,3,15,0.0,0.14089073785409595,496.26666666666665,0.19507657248641944,0.0,0.0,0.055532822837189265,13.968854243956047,0.0408667033303449,0.0
cautious,4,15,0.0,0.16527821611442237,497.0,0.206969685529599,0.0,0.0,0.05902019562154557,11.224972160321824,0.038427746773159875,0.0
cautious,5,15,0.0,0.144635146132429,450.2,0.1829226637061693,0.0,0.0,0.06786919886862594,107.41768941845659,0.053620173317376715,0.0
