player_type,pacman_agent,repetition,episode,difficulty_before,difficulty_after,performance_score,recent_performance,won,pellet_completion,steps_survived,total_pellets,pellets_collected
weak,random,1,1,2,1,0.14125000000000001,0.14125000000000001,False,0.075,500,200,15
weak,random,1,2,1,0,0.16631455399061032,0.1579597026604069,False,0.07511737089201878,500,213,16
weak,random,1,3,0,0,0.13737864077669903,0.14766917171855296,False,0.06796116504854369,500,206,14
weak,random,1,4,0,0,0.13267326732673268,0.14167080996182485,False,0.0594059405940594,500,202,12
weak,random,1,5,0,0,0.1855721393034826,0.1563045864090441,False,0.06467661691542288,500,201,13
weak,random,1,6,0,0,0.15144230769230768,0.15590611554664502,False,0.04807692307692308,500,208,10
weak,random,1,7,0,0,0.15222772277227722,0.15508996253141527,False,0.04950495049504951,500,202,10
weak,random,1,8,0,0,0.18723958333333335,0.16688355178442643,False,0.06770833333333333,500,192,13
weak,random,1,9,0,0,0.15436893203883495,0.16439619443549583,False,0.05339805825242718,500,206,11
weak,random,1,10,0,0,0.15902439024390244,0.16201427884078093,False,0.1073170731707317,500,205,22
weak,random,1,11,0,0,0.12200000000000001,0.14906074976873723,False,0.04,500,200,8
weak,random,1,12,0,0,0.12879581151832462,0.14033531171562225,False,0.05235602094240838,500,191,10
weak,random,1,13,0,0,0.1323529411764706,0.1343577109654861,False,0.058823529411764705,500,187,11
weak,random,1,14,0,0,0.1327981651376147,0.13218762767952213,False,0.05963302752293578,500,218,13
weak,random,1,15,0,0,0.13484162895927604,0.13213675012752665,False,0.06334841628959276,500,221,14
weak,random,1,16,0,0,0.14288990825688075,0.13638081642704117,False,0.0779816513761468,500,218,17
weak,random,1,17,0,0,0.16666666666666666,0.1471578083126923,False,0.07575757575757576,500,198,15
weak,random,1,18,0,0,0.11764705882352942,0.13907020724074154,False,0.03208556149732621,500,187,6
weak,random,1,19,0,0,0.13251231527093596,0.13691808380812234,False,0.059113300492610835,500,203,12
weak,random,1,20,0,0,0.16888297872340427,0.14690857151743783,False,0.0797872340425532,500,188,15
medium,greedy,1,1,2,1,0.2450507614213198,0.2450507614213198,False,0.2182741116751269,500,197,43
medium,greedy,1,2,1,0,0.25439814814814815,0.25128235257253867,False,0.18981481481481483,500,216,41
medium,greedy,1,3,0,0,0.17435,0.21281617628626937,False,0.125,278,200,25
medium,greedy,1,4,0,0,0.3094907407407408,0.25148600206805793,False,0.19907407407407407,500,216,43
medium,greedy,1,5,0,0,0.28284313725490196,0.26193838046367257,False,0.19607843137254902,500,204,40
medium,greedy,1,6,0,0,0.20048076923076924,0.24435645103625497,False,0.18269230769230768,500,208,38
medium,greedy,1,7,0,0,0.28925120772946866,0.25933600058777384,False,0.20772946859903382,500,207,43
medium,greedy,1,8,0,0,0.27294520547945206,0.2665566787505325,False,0.1780821917808219,500,219,39
medium,greedy,1,9,0,0,0.2551507537688442,0.26127285931112504,False,0.1457286432160804,500,199,29
medium,greedy,1,10,0,0,0.26,0.2612281210802293,False,0.2,500,215,43
medium,greedy,1,11,0,0,0.27058823529411763,0.2662356704310329,False,0.2192513368983957,500,187,41
medium,greedy,1,12,0,0,0.24411705069124423,0.2577456605099888,False,0.1889400921658986,451,217,41
medium,greedy,1,13,0,0,0.1528331797235023,0.2218366374022457,False,0.12442396313364056,297,217,27
medium,greedy,1,14,0,0,0.2137019230769231,0.21422466379603952,False,0.20673076923076922,500,208,43
medium,greedy,1,15,0,0,0.1702814814814815,0.19490246503748085,False,0.14814814814814814,319,189,28
medium,greedy,1,16,0,0,0.22545662100456623,0.19995321402118502,False,0.182648401826484,500,219,40
medium,greedy,1,17,0,0,0.25245098039215685,0.2170108570867228,False,0.18627450980392157,500,204,38
medium,greedy,1,18,0,0,0.23197115384615385,0.22668629599019877,False,0.14903846153846154,500,208,31
medium,greedy,1,19,0,0,0.27294520547945206,0.244743887163264,False,0.1780821917808219,500,219,39
medium,greedy,1,20,0,0,0.2304794520547945,0.24469667503460815,False,0.1917808219178082,500,219,42
strong,cautious,1,1,2,1,0.21807692307692308,0.21807692307692308,False,0.16923076923076924,500,195,33
strong,cautious,1,2,1,0,0.25566502463054186,0.24313565744600227,False,0.1921182266009852,500,203,39
strong,cautious,1,3,0,0,0.2951456310679612,0.26914064425698175,False,0.21844660194174756,500,206,45
strong,cautious,1,4,0,0,0.2562807881773399,0.263996701825125,False,0.1477832512315271,500,203,30
strong,cautious,1,5,0,0,0.2920792079207921,0.2733575371903474,False,0.21287128712871287,500,202,43
strong,cautious,1,6,0,0,0.28,0.2788743655321102,False,0.19090909090909092,500,220,42
strong,cautious,1,7,0,0,0.2557692307692308,0.27218606566874476,False,0.19230769230769232,500,208,40
strong,cautious,1,8,0,0,0.16278538812785387,0.23449620451567446,False,0.1141552511415525,500,219,25
strong,cautious,1,9,0,0,0.25405405405405407,0.23605324820067802,False,0.1891891891891892,500,222,42
strong,cautious,1,10,0,0,0.27726130653266334,0.2454944916534371,False,0.18592964824120603,500,199,37
strong,cautious,1,11,0,0,0.24850746268656715,0.24633898058337264,False,0.1791044776119403,500,201,36
strong,cautious,1,12,0,0,0.24140211640211642,0.24691452323938684,False,0.21164021164021163,500,189,40
strong,cautious,1,13,0,0,0.2692118226600985,0.2577177756058694,False,0.21674876847290642,500,203,44
strong,cautious,1,14,0,0,0.19839449541284404,0.23782015658778408,False,0.17889908256880735,500,218,39
strong,cautious,1,15,0,0,0.23055555555555557,0.23235352819334995,False,0.14646464646464646,500,198,29
strong,cautious,1,16,0,0,0.26480582524271845,0.2414173730931107,False,0.2087378640776699,500,206,43
strong,cautious,1,17,0,0,0.26,0.24779271874155515,False,0.2,500,205,41
strong,cautious,1,18,0,0,0.21085365853658536,0.2365460916623358,False,0.15609756097560976,500,205,32
strong,cautious,1,19,0,0,0.26323529411764707,0.24665055405170463,False,0.20588235294117646,500,204,42
strong,cautious,1,20,0,0,0.176457399103139,0.22350633152258387,False,0.13901345291479822,500,223,31
